Project,Approach,fold,model_index,author_experience,author_merge_ratio,author_changes_per_week,author_merge_ratio_in_project,total_change_num,author_review_num,description_length,is_documentation,is_bug_fixing,is_feature,project_changes_per_week,project_merge_ratio,changes_per_author,num_of_reviewers,num_of_bot_reviewers,avg_reviewer_experience,avg_reviewer_review_count,lines_added,lines_deleted,files_added,files_deleted,files_modified,num_of_directory,modify_entropy,subsystem_num
Eclipse,NSGA2_LR_AUC_average_churn_recall,1,277,390.8587279,71.01875547,297.7705222,20.8093396,221.535167,533.3568352,29.80276149,105.5562514,361.5913501,386.7863872,32.33818273,101.206025,318.0349868,472.590246,71.20346336,254.1995259,274.7850324,342.5232187,160.1313138,510.7088693,607.5081759,186.5108042,124.9539737,25.86812664,112.7521938
Eclipse,NSGA2_LR_AUC_average_churn_recall,2,363.5,470.4151757,323.1491898,108.9272929,231.5505567,234.7208984,582.8433142,48.31583561,22.72269019,386.5695131,394.984892,136.6456304,190.7383596,1029.311718,396.635542,65.77479572,488.6753111,2359.6862,2038.06609,2093.956318,1629.287288,1053.003715,340.1715562,118.4135672,40.94478948,162.0732727
Eclipse,NSGA2_LR_AUC_average_churn_recall,3,361,170.1760919,126.0628107,189.6294181,293.6584962,164.6337879,437.1075373,34.79928828,41.71446742,275.9548114,321.5321078,63.04433674,30.49048022,420.6212038,1819.052717,12.30713955,497.6533688,967.7493524,1650.407769,1552.661489,427.2469587,274.6060049,369.3654296,78.71261554,133.3043995,49.05280726
Eclipse,NSGA2_LR_AUC_average_churn_recall,4,399.5,208.0312172,123.4847453,303.5814331,553.8788459,39.28134899,242.8682703,40.9818807,14.16097386,192.0593711,263.8067267,181.4553744,158.320526,568.1984414,1457.012662,292.4953899,75.13464697,102.5933509,1728.296495,1307.529354,492.2466491,219.9622404,255.6393016,90.39118823,81.29794002,61.00355777
Eclipse,NSGA2_LR_AUC_average_churn_recall,5,395.5,456.8238702,305.8110196,382.5645,253.0596523,118.1619272,1520.740252,42.53696629,125.3270263,82.19003881,50.77722527,272.2025922,15.11423222,488.4443297,345.3109432,14.97879683,551.4075589,312.8788882,1268.97637,1216.450796,1146.713871,215.2864276,313.5239031,209.0225898,54.83073551,56.89411291
Eclipse,NSGA2_LR_AUC_average_churn_recall,6,215.5,11.83877285,2.638503891,17.31582146,226.096585,7.861071825,318.4535029,2.966153348,41.59494199,159.664376,167.2068576,65.69363832,60.1161052,303.9750662,295.6917705,13.49323768,63.92444463,112.1373822,1148.977924,973.5207446,109.0422587,8.614040271,42.16009497,22.56082956,11.77013142,6.650320101
Eclipse,NSGA2_LR_AUC_average_churn_recall,7,399.5,120.9407999,109.4091357,661.643564,405.58212,99.97198512,332.8028849,53.83674909,32.41988087,103.7331671,169.9502476,325.466525,18.67363177,300.2950506,511.3418313,20.40697747,182.4487399,431.3876655,1594.199934,1053.908396,106.0456105,217.2061737,93.68630071,82.63237305,75.43574444,37.37878923
Eclipse,NSGA2_LR_AUC_average_churn_recall,8,332,7.596185387,125.7043654,55.0542258,77.78003452,132.91878,439.9130845,2.463090634,37.87761395,79.51290542,80.09274783,187.5898186,22.5236594,195.7565147,538.8889681,5.575883476,293.1632313,167.1098025,1148.189057,1156.276653,219.5013982,31.81341399,289.0221108,60.4213046,14.03257117,5.354214796
Eclipse,NSGA2_LR_AUC_average_churn_recall,9,399.5,15.58250018,390.9735665,60.7220789,162.5714695,31.25989434,462.4385365,26.13971769,126.331909,199.4255878,163.2635267,114.7039743,26.12644875,316.0590292,1007.276789,0.434649912,22.67811271,748.1952297,1077.50209,1103.842308,448.7315807,69.30386075,206.0002295,66.22090115,5.816589387,14.183776
Eclipse,NSGA2_LR_AUC_average_churn_recall,10,399.5,241.6521409,78.41522669,274.4221552,86.77600947,383.3715826,686.133878,53.10210213,5.295042833,190.8453184,211.3721952,180.7586129,16.89013761,230.6885211,699.1981383,4.595733151,160.7626929,780.4436201,1040.565704,1066.142431,578.2733255,261.1610387,411.8530441,84.54156799,31.8550566,47.70498592
