,org,model,repetition,fold,fit_time_seconds,auc,popt,recall_at_0.05,recall_at_0.1,recall_at_0.2,recall_at_0.3,recall_at_0.4,recall_at_0.5,recall_at_0.6,recall_at_0.7,recall_at_0.8,recall_at_0.9,recall_at_0.99,recall_at_0.999
210,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,1,5812.8492612838745,0.7975820356047334,0.853597219398251,0.1541244573082489,0.329232995658466,0.6099855282199711,0.874095513748191,0.9609261939218524,0.97178002894356,0.9819102749638206,0.989507959479016,0.996382054992764,0.9992764109985528,1.0,1.0
211,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,10,22050.06919336319,0.8334116833736607,0.8978566658930193,0.244106463878327,0.4395437262357414,0.8608365019011407,0.9745247148288974,0.9855513307984792,0.990874524714829,0.9946768060836502,0.996958174904943,0.9992395437262356,0.999619771863118,1.0,1.0
212,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,2,8191.368576526642,0.6752998246219004,0.8433481981894673,0.1430103682516982,0.2785126921701823,0.5126921701823383,0.7572398998927422,0.9302824454772972,0.9692527708258848,0.9835538076510548,0.994279585269932,0.9978548444762244,1.0,1.0,1.0
213,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,3,10604.596928834915,0.7112076540979209,0.9757615864324484,0.8898305084745762,0.9635224760501104,0.9959469417833456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
214,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,4,12616.50486278534,0.7709661957148973,0.9478138326435134,0.3736220472440945,0.7566929133858268,0.9948818897637796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
215,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,5,15264.30355477333,0.7776029594888156,0.9611608367963368,0.5696252465483235,0.9775147928994082,0.9988165680473372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
216,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,6,15044.506019353868,0.7827287812586687,0.7901074771426353,0.1386832878846903,0.2317880794701986,0.4460459680560966,0.6306973120373978,0.8118426178418388,0.9224776003116478,0.9824698091156993,0.9976626412154266,1.0,1.0,1.0,1.0
217,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,7,16549.260989904404,0.810042440047042,0.8086618898945199,0.1386214863303812,0.2618405852907201,0.4882556796303427,0.7246823257604929,0.8590681555641124,0.9688101655756642,0.9853677319984596,0.9930689256834808,0.9980747015787448,1.0,1.0,1.0
218,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,8,18042.666980981827,0.8371155976952387,0.7823318648562838,0.1207747816179263,0.2320546904671477,0.3987846562856058,0.6179263197873148,0.8051652107861754,0.9711355867831372,0.988226357766806,0.994303076338777,0.9969616407140144,1.0,1.0,1.0
219,Gerrithub,NSGA2_LR_AUC_average_churn_recall_max,0,9,20135.078459501263,0.8532494128959485,0.8807567630358001,0.2084912812736921,0.3968915845337377,0.7119029567854435,0.9438968915845336,0.9829416224412434,0.9920394238059136,0.9946929492039424,0.9992418498862776,1.0,1.0,1.0,1.0
350,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,1,5124.016206264496,0.7814348306151584,0.8812528828936032,0.2075764288879042,0.3768276473194506,0.7585290208241028,0.9576871953921134,0.9776251661497564,0.9853788214443951,0.9924678777137792,0.9960124058484714,0.9984492689410722,0.9997784669915818,1.0,1.0
351,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,10,32249.93373703957,0.887928655668432,0.974588952000172,0.6506777893639207,0.9655891553701772,0.9966631908237747,0.9993743482794578,0.9995828988529718,0.999791449426486,0.999791449426486,0.999791449426486,1.0,1.0,1.0,1.0
352,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,2,6819.252492904663,0.8104121213805626,0.9405418844907736,0.3439446366782007,0.6502883506343714,0.9734717416378316,0.9935409457900808,0.9976931949250288,0.9997693194925028,0.9997693194925028,0.9997693194925028,1.0,1.0,1.0,1.0
353,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,3,8642.7954890728,0.7773947690466625,0.9732739699181412,0.866620594333103,0.9808799815710666,0.9898640866159872,0.9919373416263534,0.9933195116332644,0.995623128311449,0.9974660216539968,0.9979267449896336,0.999539276664363,0.9997696383321816,0.9997696383321816,1.0
354,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,4,11765.879914522173,0.7858109583060466,0.9578319075608678,0.5669067889107182,0.871862038856145,0.9434621261733246,0.9759877755948484,0.9912682820344902,0.9945426762715563,0.996725605762934,0.9980353634577604,0.9993451211525868,1.0,1.0,1.0
355,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,5,14520.619628190994,0.8188172783401042,0.9565270569625324,0.4903991370010787,0.9333333333333332,0.9745415318230852,0.98403451995685,0.98554476806904,0.9887810140237324,0.9937432578209278,0.9963322545846818,0.9965480043149946,0.998705501618123,1.0,1.0
356,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,6,15186.531999588013,0.8496129491470009,0.9746654363970612,0.6816999132697311,0.9620555073720728,0.9952298352124892,0.996313963573287,0.9980485689505636,0.9986990459670424,0.9993495229835212,0.9995663486556808,0.9997831743278404,1.0,1.0,1.0
357,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,7,22080.0013422966,0.8354925081371629,0.9539156297648516,0.4607442460744246,0.9184770918477092,0.99204129920413,0.99462249946225,0.99591309959131,0.99677349967735,0.99806409980641,0.99892449989245,0.99978489997849,1.0,1.0,1.0
358,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,8,20133.87134861946,0.8507691470898006,0.9746756162769814,0.7455089820359282,0.9912318220701454,0.998289136013687,0.998502994011976,0.998502994011976,0.9993584260051326,0.9995722840034216,0.9997861420017108,1.0,1.0,1.0,1.0
359,Libreoffice,NSGA2_LR_AUC_average_churn_recall_max,0,9,21637.703232049946,0.8241430836429371,0.9072359706239204,0.2233602091959032,0.4406188712137721,0.8818914796251907,0.9830028328611898,0.99368054042275,0.9980387884070604,0.9995641752015688,1.0,1.0,1.0,1.0,1.0
70,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,1,11915.332564115524,0.669441459807226,0.8978390622514123,0.8756137479541735,0.878419452887538,0.878419452887538,0.8798223053542202,0.8823942015431377,0.8866027589431845,0.9176993219546412,0.922375496843582,0.9303249941547814,0.9303249941547814,0.983633387888707,0.9964928688332944
71,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,10,33330.019369125366,0.7295982101645792,0.9185898395779696,0.2998897464167585,0.6319735391400221,0.9649393605292172,0.9713340683572216,0.975303197353914,0.9799338478500552,0.984013230429989,0.9894156560088204,0.9925027563395812,0.9947078280044102,0.9991179713340684,0.9995589856670342
72,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,2,6721.939975261688,0.7392114372241393,0.8798575341717729,0.2126056177209408,0.400433889015757,0.798584151632793,0.970541219456497,0.9748801096140672,0.9801324503311258,0.9849280657684404,0.9868691482073532,0.9915505823247316,0.9949760219228134,0.9988581868006394,0.9995432747202556
73,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,3,10248.052255868912,0.7278239247897511,0.9168464230216864,0.435796766743649,0.7302540415704388,0.923094688221709,0.9408775981524248,0.9484988452655888,0.9561200923787528,0.9651270207852194,0.9736720554272518,0.9939953810623556,0.9963048498845266,0.9969976905311778,0.9993071593533488
74,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,4,16746.60125207901,0.7889644143474784,0.9516918699902934,0.6374855824682815,0.9317185697808535,0.966089965397924,0.9683967704728952,0.9707035755478662,0.9748558246828144,0.9799307958477508,0.9847750865051904,0.9896193771626296,0.9949250288350634,0.9990772779700116,0.9997693194925028
75,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,5,20466.910177469254,0.7851344744983833,0.9016237409676936,0.2915418299147269,0.5003457017746025,0.9008988246139664,0.9767227471767688,0.9783360221249136,0.9806407006222632,0.9834063148190828,0.9876699700391796,0.9921640931090112,0.9958515787047708,0.9993085964507952,0.999769532150265
76,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,6,18362.5264377594,0.83405311235978,0.919478571774857,0.2638326585695006,0.5316014394961763,0.9583895636527217,0.9784075573549258,0.9885290148448044,0.989766081871345,0.9912280701754386,0.9932523616734144,0.9955015744489428,0.9975258659469186,0.9997750787224472,1.0
77,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,7,27360.927211999893,0.7685802127582186,0.9624159186630328,0.8857907651126478,0.9687709123354896,0.9740129377648896,0.9790318982824002,0.9843854561677448,0.9843854561677448,0.9843854561677448,0.9843854561677448,0.9877314298460852,0.989850546509034,0.9979924157929958,0.9995538701762212
78,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,8,32128.29532027245,0.7834866738101885,0.9248555921055776,0.3060219386612939,0.6272666218938885,0.9556749496306246,0.9814192970673832,0.9836579359749272,0.9870158943362436,0.9912693082605776,0.994179538840385,0.9959704499664204,0.9975374972017014,0.9993284083277368,0.9997761361092457
79,Eclipse,NSGA2_LR_AUC_average_churn_recall_median,0,9,64401.47519874573,0.8096009154009737,0.8749378016339548,0.1671099290780142,0.3712322695035461,0.7688386524822695,0.9565602836879432,0.9725177304964538,0.9802748226950354,0.9831560283687945,0.9862588652482268,0.9911347517730495,0.9955673758865248,0.9993351063829788,0.9997783687943262
210,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,1,5812.8492612838745,0.7830565922766395,0.8405457755122578,0.1400144717800289,0.2894356005788712,0.566931982633864,0.8361070911722142,0.9486251808972505,0.9580318379160636,0.9678002894356006,0.9757597684515196,0.984081041968162,0.9924023154848046,0.9985528219971056,0.9996382054992764
211,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,10,22050.06919336319,0.804932883972808,0.8415951205284822,0.1813688212927756,0.3863117870722433,0.5619771863117871,0.7950570342205323,0.9771863117870724,0.9844106463878328,0.9870722433460076,0.988593155893536,0.9904942965779469,0.9950570342205324,0.9992395437262356,0.999619771863118
212,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,2,8191.368576526642,0.6583353254649423,0.8093025412097319,0.1272792277440114,0.2220235967107615,0.4411869860564891,0.6803718269574545,0.8877368609224169,0.9646049338577048,0.9706828745084018,0.975330711476582,0.9835538076510548,0.9921344297461566,0.9982123703968536,1.0
213,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,3,10604.596928834915,0.6801282980238836,0.9101361960155878,0.8006632277081798,0.922623434045689,0.925939572586588,0.925939572586588,0.925939572586588,0.925939572586588,0.925939572586588,0.925939572586588,0.925939572586588,0.9616801768607222,0.9922623434045688,0.9974207811348564
214,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,4,12616.50486278534,0.7113493791999405,0.9407324195533948,0.3456692913385826,0.6836614173228346,0.9913385826771652,0.9940944881889764,0.9948818897637796,0.9948818897637796,0.9948818897637796,0.9948818897637796,0.9948818897637796,0.9960629921259844,0.9988188976377952,0.9996062992125984
215,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,5,15264.30355477333,0.7371208609422009,0.937507942041604,0.5282051282051282,0.919526627218935,0.9613412228796844,0.977120315581854,0.977120315581854,0.977120315581854,0.977120315581854,0.977120315581854,0.977120315581854,0.9850098619329388,0.9928994082840236,0.998422090729783
216,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,6,15044.506019353868,0.7552703234548046,0.7490534974968943,0.1211530970003895,0.2049084534476042,0.4000779119594858,0.5757693805999221,0.7432800934943514,0.8523568367744448,0.9493572263342424,0.9674717569146865,0.9678613167121152,0.9807167900272692,0.9976626412154266,0.9992208804051422
217,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,7,16549.260989904404,0.7325812668985372,0.7818014983806924,0.1197535618020793,0.212360415864459,0.4301116673084328,0.6299576434347324,0.810550635348479,0.9510974201001156,0.9703504043126684,0.9768964189449364,0.9853677319984596,0.99268386599923,1.0,1.0
218,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,8,18042.666980981827,0.8093989717528935,0.7722944106855556,0.0979870869730345,0.2104063805545005,0.3699202430687429,0.5776680592480061,0.7755412077478162,0.947588302316749,0.9840486137485758,0.9889859475883024,0.992024306874288,0.9946828712495251,0.9992404101785036,0.9996202050892518
219,Gerrithub,NSGA2_LR_AUC_average_churn_recall_median,0,9,20135.078459501263,0.8277158763105827,0.8577446065110925,0.1413949962092494,0.2843062926459438,0.6023502653525398,0.890068233510235,0.9738438210765732,0.986732373009856,0.9893858984078848,0.9924184988627748,0.9946929492039424,0.9973464746019712,0.9992418498862776,1.0
350,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,1,5124.016206264496,0.7398809084259905,0.8668342413400509,0.1891891891891892,0.3329641116526362,0.6809924678777137,0.9361984935755427,0.9676561807709348,0.9727514399645548,0.9760744350908286,0.9818342933097032,0.9904740806380152,0.9944616747895436,0.999113867966327,1.0
351,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,10,32249.93373703957,0.8266942457345032,0.953147408838562,0.440458811261731,0.7840458811261731,0.9962460896767468,0.9983315954118874,0.9983315954118874,0.9987486965589156,0.9989572471324296,0.9991657977059436,0.9995828988529718,0.999791449426486,1.0,1.0
352,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,2,6819.252492904663,0.7456827309236949,0.9241542158310492,0.3162629757785467,0.5746251441753172,0.939446366782007,0.9873125720876584,0.9912341407151096,0.9923875432525952,0.9926182237600922,0.9935409457900808,0.9935409457900808,0.9953863898500576,0.9990772779700116,0.9997693194925028
353,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,3,8642.7954890728,0.71897007932083,0.9674601682442374,0.7812715964063579,0.9778852798894264,0.9841050449205252,0.9850264915917992,0.9877908316056208,0.9900944482838056,0.9917069799585349,0.9940105966367196,0.9949320433079936,0.9963142133149044,0.9988481916609075,1.0
354,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,4,11765.879914522173,0.7433440272351113,0.9247883594869314,0.4417157825802226,0.7125081859855926,0.871862038856145,0.9596158044095175,0.9849377865094956,0.9866841301025976,0.9890853525431128,0.9913774285090592,0.9938877974241432,0.996725605762934,0.999126828203449,0.9995634141017246
355,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,5,14520.619628190994,0.7569444444444444,0.9292657189585388,0.368824163969795,0.8314994606256743,0.9464940668824164,0.9651564185544768,0.967529665587918,0.9693635382955772,0.9709816612729234,0.9758360302049622,0.976267529665588,0.9842502696871628,0.9969795037756204,0.9997842502696872
356,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,6,15186.531999588013,0.778337327390872,0.9550788779959382,0.4470945359930616,0.8759757155247181,0.9930615784908932,0.993712055507372,0.9943625325238508,0.9952298352124892,0.9960971379011276,0.996964440589766,0.9980485689505636,0.998915871639202,0.9995663486556808,0.9995663486556808
357,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,7,22080.0013422966,0.8184018068401807,0.9305588192274614,0.3920197892019789,0.798773929877393,0.9565497956549796,0.9617121961712196,0.9666594966659496,0.9705312970531296,0.9752634975263498,0.9804258980425898,0.98623359862336,0.99397719939772,0.99849429984943,0.99913959991396
358,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,8,20133.87134861946,0.7364329969293453,0.9689683654981766,0.6467065868263473,0.9908041060735672,0.9931565440547476,0.9933704020530368,0.9946535500427716,0.9955089820359282,0.9961505560307956,0.9974337040205304,0.998502994011976,0.9991445680068436,0.9993584260051326,0.9995722840034216
359,Libreoffice,NSGA2_LR_AUC_average_churn_recall_median,0,9,21637.703232049946,0.791561557032398,0.8903630859523584,0.1857703203312268,0.3778601002397036,0.7803443015907605,0.9779908476792328,0.9875789932447157,0.9908476792329484,0.9930268032251036,0.993244715624319,0.9934626280235346,0.9956417520156896,0.9993462628023536,0.9997820876007844
110,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,1,11729.944273471832,0.713888108066927,0.978741829990267,0.95019873743278,0.982931961655366,0.9964928688332944,0.9964928688332944,0.9976619125555296,0.9976619125555296,0.9981295300444236,0.999064765022212,1.0,1.0,1.0,1.0
111,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,10,20505.1038146019,0.8015113275541645,0.9479547592066658,0.4705622932745314,0.933627342888644,0.9790518191841234,0.9905181918412348,0.9936052921719956,0.995148842337376,0.9964718853362734,0.9980154355016538,0.9995589856670342,1.0,1.0,1.0
112,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,2,12602.453233242037,0.7594584004154542,0.9080075394244996,0.2861383877597625,0.4928065768440283,0.9365151861155516,0.9780771865722768,0.9904087691253712,0.9931491208038364,0.996117835122174,0.997944736241151,0.9995432747202556,0.999771637360128,1.0,1.0
113,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,3,13153.836491584778,0.7520706239923308,0.937617737120846,0.4605080831408776,0.7868360277136258,0.9757505773672056,0.9785219399538106,0.9812933025404156,0.984757505773672,0.9886836027713626,0.9909930715935334,0.997459584295612,0.9988452655889144,0.9997690531177827,0.9997690531177827
114,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,4,14213.077412366869,0.8093347768555276,0.9564939351714216,0.6901960784313725,0.9499423298731258,0.9695501730103806,0.9755478662053056,0.9787773933102653,0.9806228373702424,0.9847750865051904,0.9919261822376008,0.9953863898500576,0.9990772779700116,1.0,1.0
115,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,5,14787.328777551653,0.8257837652859548,0.9242078244397444,0.3692094952754091,0.6499193362525928,0.9527540908043328,0.9836367826688176,0.987554736114312,0.9900898824613966,0.9926250288084812,0.9965429822539756,0.9983867250518552,0.99953906430053,1.0,1.0
116,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,6,14893.403799533844,0.8370072537885468,0.9210605703019192,0.2582096266306792,0.5566801619433198,0.9572649572649572,0.9824561403508772,0.9871794871794872,0.9901034637876744,0.9939271255060728,0.9966261808367072,0.9995501574448944,0.9997750787224472,1.0,1.0
117,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,7,15934.068938016891,0.8167914446076392,0.9692277793755344,0.8226633950479589,0.9730091456613874,0.9933080526433192,0.998661610528664,0.999330805264332,1.0,1.0,1.0,1.0,1.0,1.0,1.0
118,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,8,16487.988991975784,0.8209323113569422,0.9512297251540636,0.4517573315424222,0.8609805238415044,0.9722408775464516,0.9874636221177524,0.9939556749496308,0.9961943138571748,0.9979852249832102,0.9986568166554736,0.9997761361092457,1.0,1.0,1.0
119,Eclipse,UNSGA3_LR_AUC_average_churn_recall_max,0,9,18970.715106725693,0.8257525003508317,0.8882000882692122,0.1784131205673758,0.4419326241134751,0.8645833333333334,0.9658687943262412,0.9753989361702128,0.9844858156028368,0.9920212765957448,0.993572695035461,0.9973404255319148,0.9997783687943262,1.0,1.0
250,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,1,11473.90169763565,0.7889136817177794,0.8674996694561892,0.1711287988422576,0.3494934876989869,0.7051374819102749,0.8914616497829233,0.9609261939218524,0.9710564399421128,0.977206946454414,0.9855282199710564,0.9949348769898696,0.9992764109985528,1.0,1.0
251,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,10,15229.641689777374,0.8230925221799748,0.8986813370760414,0.2475285171102661,0.4334600760456273,0.8650190114068441,0.9741444866920153,0.9836501901140684,0.988593155893536,0.9935361216730038,0.9965779467680608,0.9988593155893536,1.0,1.0,1.0
252,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,2,12152.19825220108,0.6950251008582737,0.8700428714698281,0.1662495530925992,0.307114765820522,0.5999284948158742,0.8498391133357168,0.946013585984984,0.973543081873436,0.9828387558097962,0.992849481587415,0.998569896317483,0.9996424740793708,1.0,1.0
253,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,3,12780.023733615875,0.7320664892714979,0.9781847707940532,0.8901989683124539,0.9812085482682388,0.9981577008106116,0.9992630803242448,0.9992630803242448,0.9992630803242448,0.9992630803242448,0.9992630803242448,0.9992630803242448,0.9992630803242448,1.0,1.0
254,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,4,13377.011008024216,0.7675848364699094,0.9359539498499848,0.3421259842519685,0.6598425196850394,0.983464566929134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
255,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,5,14144.352289438248,0.7920986375080667,0.9664952336323228,0.58698224852071,0.9806706114398422,0.9992110453648916,0.9996055226824456,0.9996055226824456,0.9996055226824456,0.9996055226824456,0.9996055226824456,0.9996055226824456,1.0,1.0,1.0
256,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,6,14579.596046447754,0.7820242688743725,0.7608530384614755,0.1308920919361122,0.2107518504090378,0.3954031943903389,0.5742111414102065,0.7167900272691858,0.8936501753019088,0.9797428905336968,0.995714842228282,0.995714842228282,0.99649396182314,1.0,1.0
257,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,7,14918.699845552444,0.7629028908694939,0.8128711329846829,0.1324605313823642,0.2437427801309203,0.4613015017327685,0.6923373122834039,0.87639584135541,0.9699653446284174,0.9922988063149788,0.9969195225259916,0.9980747015787448,0.9996149403157488,0.999229880631498,0.999229880631498
258,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,8,15065.276550531387,0.8084937378653285,0.7747998231798177,0.1173566274211925,0.2225598176984428,0.379794910748196,0.6080516521078617,0.8078237751614128,0.9608811241929358,0.9851879984808204,0.9927838966957844,0.9965818458032664,1.0,1.0,1.0
259,Gerrithub,UNSGA3_LR_AUC_average_churn_recall_max,0,9,14852.36052441597,0.8379870189907357,0.8600122585805968,0.1815769522365428,0.3157695223654284,0.6220621683093253,0.925322213798332,0.9783927217589082,0.9886277482941622,0.9935557240333586,0.995830174374526,1.0,1.0,1.0,1.0
416,Libreoffice,UNSGA3_LR_AUC_average_churn_recall_max,0,1,11779.63763141632,0.7756980487513275,0.8962995742073361,0.2230837394771821,0.4457244129375277,0.8147984049623394,0.954585733274258,0.9867080194949048,0.9909171466548516,0.994683207797962,0.9977846699158176,0.9988923349579087,0.9997784669915818,0.9997784669915818,1.0
417,Libreoffice,UNSGA3_LR_AUC_average_churn_recall_max,0,10,20695.89631295204,0.8707063853814244,0.962169744479559,0.5147028154327424,0.8798748696558916,0.9968717413972888,0.9991657977059436,0.9993743482794578,0.9995828988529718,0.999791449426486,0.999791449426486,1.0,1.0,1.0,1.0
418,Libreoffice,UNSGA3_LR_AUC_average_churn_recall_max,0,2,12296.78189921379,0.77103801596235,0.9372038447015408,0.3425605536332179,0.6546712802768166,0.964475201845444,0.9956170703575548,0.9986159169550172,0.9997693194925028,0.9997693194925028,0.9997693194925028,1.0,1.0,1.0,1.0
419,Libreoffice,UNSGA3_LR_AUC_average_churn_recall_max,0,3,12823.131721258163,0.7721710121928465,0.9577399999696016,0.8299930891499654,0.952545496429394,0.9617599631421332,0.9677493665054137,0.9744298548721492,0.9882515549412578,0.9937802349689012,0.9940105966367196,0.999078553328726,0.9997696383321816,0.9997696383321816,1.0
420,Libreoffice,UNSGA3_LR_AUC_average_churn_recall_max,0,4,14914.426540136335,0.7748585388107695,0.9205601355161064,0.4090809866841301,0.5992141453831041,0.8775376555337263,0.9724950884086444,0.9910499890853526,0.9936695044750056,0.9960707269155208,0.998253656406898,0.9993451211525868,1.0,1.0,1.0
421,Libreoffice,UNSGA3_LR_AUC_average_churn_recall_max,0,5,15787.779754400251,0.8162848011200623,0.9572211500077904,0.5052858683926645,0.915210355987055,0.9730312837108952,0.9853290183387272,0.989212513484358,0.9896440129449838,0.994822006472492,0.998705501618123,0.9997842502696872,1.0,1.0,1.0
422,Libreoffice,UNSGA3_LR_AUC_average_churn_recall_max,0,6,16137.510439872742,0.8412223064802495,0.959839920532148,0.5294882914137033,0.9455767562879444,0.983304423243712,0.9863399826539462,0.9878577623590632,0.9913269731136166,0.9945793581960104,0.9978317432784042,0.9997831743278404,1.0,1.0,1.0
