,org,model,repetition,fold,fit_time_seconds,auc,popt,recall_at_0.05,recall_at_0.1,recall_at_0.2,recall_at_0.3,recall_at_0.4,recall_at_0.5,recall_at_0.6,recall_at_0.7,recall_at_0.8,recall_at_0.9,recall_at_0.99,recall_at_0.999
70,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,1,11915.332564115524,0.7031369777724069,0.9709358414216808,0.9345335515548282,0.9801262567220014,0.9805938742108956,0.9805938742108956,0.9848024316109424,0.9864390928220717,0.9864390928220717,0.9962590600888472,0.9962590600888472,0.9962590600888472,0.9962590600888472,0.999766191255553
71,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,10,33330.019369125366,0.7712868665861973,0.927782361070637,0.3484013230429989,0.6961411245865491,0.9788313120176406,0.9889746416758544,0.9925027563395812,0.9938257993384784,0.9969128996692392,0.9980154355016538,0.9988974641675854,1.0,1.0,1.0
72,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,2,6721.939975261688,0.7587074331610563,0.9024101849698292,0.2553094313770267,0.4373144553551039,0.8986069878967801,0.9865266042475452,0.992007307604476,0.9949760219228134,0.9970312856816624,0.9984014615208952,0.9988581868006394,1.0,1.0,1.0
73,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,3,10248.052255868912,0.7644209715020263,0.926212168196322,0.4695150115473441,0.8279445727482679,0.9364896073903002,0.9519630484988452,0.9602771362586604,0.96905311778291,0.9806004618937644,0.9852193995381062,0.9958429561200924,0.9995381062355658,0.9997690531177827,0.9997690531177827
74,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,4,16746.60125207901,0.8273275733967349,0.961069722023919,0.7866205305651672,0.956632064590542,0.97439446366782,0.9806228373702424,0.982237600922722,0.9866205305651672,0.990080738177624,0.9935409457900808,0.9972318339100346,0.9995386389850056,1.0,1.0
75,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,5,20466.910177469254,0.805262349235615,0.9133231376717852,0.3039870938004148,0.5441345932242452,0.9483752016593684,0.9864023968656372,0.9903203503111316,0.9921640931090112,0.9949297073058307,0.9972343858031804,0.9983867250518552,0.999769532150265,1.0,1.0
76,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,6,18362.5264377594,0.8530130169708827,0.9357664897748784,0.3344579397210976,0.6752136752136753,0.9667116509221771,0.9860548807917228,0.9910031488978858,0.9928025191183086,0.9961763382816016,0.9975258659469186,0.9995501574448944,0.9997750787224472,1.0,1.0
77,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,7,27360.927211999893,0.7901871717397035,0.9734981237525092,0.9382110194066472,0.977024314075396,0.9930849877314298,0.9984385456167744,0.9988846754405531,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,8,32128.29532027245,0.8166441545113605,0.9442109909378174,0.4072084172822923,0.7873293037832998,0.9720170136556974,0.994179538840385,0.9966420416386836,0.9984329527647192,0.9986568166554736,0.9993284083277368,0.9997761361092457,1.0,1.0,1.0
79,Eclipse,NSGA2_LR_AUC_average_churn_recall_max,0,9,64401.47519874573,0.8372478059522652,0.8882657897613747,0.18927304964539,0.4168882978723404,0.8315602836879432,0.969636524822695,0.9855939716312055,0.990691489361702,0.9937943262411348,0.99822695035461,0.9993351063829788,1.0,1.0,1.0
